seller,seller_URL,items_no,sales_no,admirers_no,year_join,metrics
LeatherCurt,https://www.etsy.com/uk/shop/LeatherCurt?ref=shop-header-name&listing_id=1537898920&from_page=listing,106,1211,50,2023,None
LeatherHubStudioShop,https://www.etsy.com/uk/shop/LeatherHubStudioShop?ref=shop-header-name&listing_id=1707481119&from_page=listing,32,119,6,Not known,None
Leatherlook11,https://www.etsy.com/uk/shop/Leatherlook11?ref=shop-header-name&listing_id=586278840&from_page=listing,45,12,1041,2017,"['Smooth dispatch', 'Rave reviews']"
LemonGrassAttire,https://www.etsy.com/uk/shop/LemonGrassAttire?ref=shop-header-name&listing_id=1676957953&from_page=listing,31,456,333,2022,"['Speedy replies', 'Rave reviews']"
LeonNoelCosplayProp,https://www.etsy.com/uk/shop/LeonNoelCosplayProp?ref=shop-header-name&listing_id=1675036424&from_page=listing,18,126,318,Not known,"['Speedy replies', 'Rave reviews']"
LesCostumesDeLou,https://www.etsy.com/uk/shop/LesCostumesDeLou?ref=shop-header-name&listing_id=1349174615&from_page=listing,14,342,544,Not known,None
LessingArt24,https://www.etsy.com/uk/shop/LessingArt24?ref=shop-header-name&listing_id=1566535247&from_page=listing,66,79,91,2023,None
Lexivirginhair,https://www.etsy.com/uk/shop/Lexivirginhair?ref=shop-header-name&listing_id=1399083372&from_page=listing,22,252,42,Not known,"['Smooth dispatch', 'Speedy replies']"
Lexx3D,https://www.etsy.com/uk/shop/Lexx3D?ref=shop-header-name&listing_id=1207125139&from_page=listing,78,126,591,Not known,"['Speedy replies', 'Rave reviews']"
LightningAndLace,https://www.etsy.com/uk/shop/LightningAndLace?ref=shop-header-name&listing_id=1323385033&from_page=listing,139,1014,1766,2012,None
LightwingCosplay,https://www.etsy.com/uk/shop/LightwingCosplay?ref=shop-header-name&listing_id=1422553556&from_page=listing,6,6620,7,2023,None
LillysLilCreations,https://www.etsy.com/uk/shop/LillysLilCreations?ref=shop-header-name&listing_id=860898017&from_page=listing,47,14,2374,Not known,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
Lilprincessesshop,https://www.etsy.com/uk/shop/Lilprincessesshop?ref=shop-header-name&listing_id=1575602178&from_page=listing,21,1150,228,2023,None
LilyCraftAu,https://www.etsy.com/uk/shop/LilyCraftAu?ref=shop-header-name&listing_id=589558556&from_page=listing,91,1142,1711,2016,['Rave reviews']
